patch,area_m2,longitude,latitude,cluster
1,17172.16426,370460.7053,84427.13805,south
2,36042.4754,371192.6076,84439.03816,south
3,230539.9927,373555.6323,92097.65375,south
4,62850.62497,374038.9218,92933.53326,south
5,51682.4227,374099.8273,88488.12376,south
6,13103.14669,375353.596,87355.75018,south
7,261361.3549,375419.2328,86998.85398,south
8,228177.6338,375630.4832,87892.47145,south
9,17028.18996,375685.8568,87417.8328,south
10,13317.90433,377258.958,87611.30274,south
11,193388.697,378752.5784,87218.72269,south
12,23120.31419,379137.3902,92180.14036,south
13,387549.6139,379754.3755,87644.1605,south
14,104013.3648,380137.3435,92273.87994,south
15,1832675.34,380758.1844,86900.43376,south
16,173880.3794,380904.4231,92702.60026,south
17,404525.7657,381568.8589,90206.77135,south
18,776731.1113,381653.6668,92066.03354,south
19,92172.11589,382014.0978,88941.69435,south
20,27792.61802,382248.5469,87121.02955,south
21,81315.75542,382350.5174,90409.67788,south
22,966849.5812,382625.6371,91508.52788,south
23,452837.2674,383245.7723,90451.7165,south
24,286091.7955,383635.9468,89585.22869,south
25,216750.5396,383636.5284,94025.64374,south
26,999930.6529,383724.7276,91865.2171,south
27,382170.3,384110.4603,90868.22324,south
28,27502.83046,384137.4096,93569.20252,south
29,49519.10848,384151.8942,90025.9495,south
30,58584.37604,384208.5238,90414.29977,south
31,25416.28737,384235.1701,87413.51415,south
32,169221.0782,384331.9955,88633.94741,south
33,36901.22237,384406.499,89914.64319,south
34,20423.72313,384458.2215,88012.5164,south
35,228313.2202,384913.8576,89771.26694,south
36,343771.7913,385438.4924,90391.54102,south
37,11742.47487,385904.3133,88298.35087,south
38,164253.7537,386017.2697,87892.43625,south
39,57911.14171,386125.2439,94859.23269,south
40,88457.49133,386267.8525,87126.86286,south
41,1077244.489,386284.4186,89106.59628,south
42,253771.322,386306.7351,92629.59992,south
43,789044.7385,386504.442,84489.09196,south
44,21124.98322,386951.6254,81731.29967,south
45,224939.6472,387316.6691,80752.78785,south
46,161609.0521,387322.5031,84783.449,south
47,560563.0914,387398.4901,85425.80814,south
48,407822.5146,387604.2083,88236.26651,south
49,32569.08453,387956.4846,80973.06996,south
50,3742052.216,388009.6558,83399.54437,south
51,68133.12155,388057.1492,87629.92494,south
52,5169936.213,388418.0455,92026.85182,south
53,1038264.743,388545.3654,84927.78239,south
54,10591.20546,388596.9462,87991.63518,south
55,47801.7812,388606.3816,86850.94864,south
56,49739.99202,388942.4991,90539.13187,south
57,252157.235,389077.9714,87423.35505,south
