patch,area_m2,longitude,latitude,cluster
1,3076734.67,373392.3,93236.49,restored
2,1497489.53,373526.2,91594.51,restored
3,1355089.22,374863.7,92335.99,restored
4,2221865.87,376151.0,86687.33,restored
5,1505019.69,378019.9,92830.13,restored
6,4418043.30,378556.3,88088.42,restored
7,5465997.77,378623.7,86029.74,restored
8,1057844.78,379463.5,92250.38,restored
9,678798.59,380459.8,92315.59,restored
10,120451.49,380889.6,87821.82,restored
11,1497879.86,381165.7,85845.16,restored
12,292866.51,381366.0,92551.64,restored
13,1911242.13,381472.4,91182.04,restored
14,199402.70,381748.9,87487.84,restored
15,591762.11,381980.1,90569.12,restored
16,1475158.88,382605.9,89869.42,restored
17,275138.91,382639.9,92423.64,restored
18,285965.97,382764.8,90854.63,restored
19,471715.77,382892.9,94735.20,restored
20,312178.70,383830.1,94202.80,restored
21,626343.23,383867.8,90371.61,restored
22,610591.36,384117.7,88094.51,restored
23,283345.40,384561.8,90166.32,restored
24,2398014.02,384587.5,91389.26,restored
25,3072738.33,385070.3,88988.66,restored
26,332249.55,385690.4,84436.14,restored
27,762557.16,386383.4,88146.29,restored
28,2334934.75,386669.0,89699.93,restored
29,1918112.96,386774.5,92876.78,restored
30,1249989.01,386928.7,91385.51,restored
31,392353.27,386947.3,85268.88,restored
32,341097.09,387018.2,84084.94,restored
33,735323.68,387068.2,82933.07,restored
34,380524.79,388102.9,85329.93,restored
35,38247.49,388309.8,84426.59,restored
36,828390.10,388516.7,87461.32,restored
37,815428.99,388562.9,88123.49,restored
38,40427.76,388892.2,84303.73,restored
39,1210698.05,389044.3,82545.44,restored
40,158670.48,389134.4,85501.85,restored
41,5069769.48,389147.1,89270.69,restored
42,497086.09,389911.5,84860.02,restored
43,989059.04,389925.4,87273.12,restored
44,793142.83,389930.4,91944.76,restored
45,3755245.22,390240.3,90009.92,restored
46,1500907.69,390247.6,93064.44,restored
47,208209.64,390512.5,84670.54,restored
48,443244.58,391211.2,85161.74,restored
49,2506339.49,391328.2,83393.93,restored
50,1430179.65,392184.6,85723.11,restored
51,3925252.95,392821.4,91659.85,restored
52,640395.96,393246.5,86353.76,restored
53,2814590.80,393273.0,89592.82,restored
54,1152470.66,393317.7,83386.80,restored
55,586946.50,394034.7,84699.85,restored
56,2870051.23,394688.4,91403.74,restored
57,2155725.67,394956.2,83818.20,restored
58,955508.43,396019.7,86481.32,restored
59,911164.01,396097.9,97368.57,restored
60,1215316.08,396191.1,83227.35,restored
61,663697.74,396360.7,91256.39,restored
62,4558012.12,397009.5,95440.08,restored
63,1033120.56,397179.4,86029.87,restored
64,955693.58,397323.1,88198.54,restored
65,1245404.77,397420.8,85148.91,restored
66,55187.88,397559.2,87186.57,restored
67,254424.27,397785.3,89501.81,restored
68,1782688.33,397809.0,83324.05,restored
69,869188.36,398751.5,84030.43,restored
70,1178261.41,398917.5,85970.43,restored
71,1648802.75,399483.4,82690.37,restored
72,46874.46,399958.2,92548.92,restored
73,907474.88,399988.8,85470.06,restored
74,588111.88,400145.4,84123.00,restored
75,3036170.31,400406.2,97245.39,restored
76,33392.81,400623.3,86603.78,restored
77,422704.58,400918.5,85666.89,restored
78,121893.94,401114.6,87061.39,restored
79,478576.29,401242.2,84914.42,restored
80,412343.86,401536.5,82177.71,restored
81,558677.82,401987.4,84309.16,restored
82,1672006.08,402035.6,87985.12,restored
83,1107582.48,403043.0,97334.32,restored
84,156745.77,403109.3,85702.68,restored
85,668025.43,403128.0,82885.30,restored
